position,college_level,college,major,tools,uses,concerns,q_understand,q_frameworks,q_confident,q_overall,valuable_text,prepare_text
New Consultant,Freshman,Gies College of Business,Finance + Data Science,ChatGPT;Gemini,Conducting research;Brainstorming or ideation;Rewriting text,Risk of sharing client/confidential data;Concerns about accuracy,Strongly Agree,Strongly Agree,Agree,Agree,"Rewriting text, I feel like I always write too much, so it was nice condensing it for slides. Also, finding sources when they weren't always readily available when you just looked up something general was very useful. ",Create suggestions of when/how to use it in the cases where it's acceptable would be helpful. 
New Consultant,Sophomore,Grainger College of Engineering,Aerospace Engineering,ChatGPT,Understanding workstreams;Summarizing notes,I have no concerns about using AI,Agree,Strongly Agree,Strongly Agree,Strongly Agree,"I think in terms of how to word certain things on slides was very helpful to me. I sometimes struggle to write concisely, so that helps.",IBC can better prepare me by explaining helpful ways of using AI in trainings.
New Consultant,Freshman,College of ACES,Agriculture and Consumer Economics-Public Policy and Law,Claude;I don't use AI,Conducting research,Lack of standardized AI training;Unclear when/how to use AI,Neutral,Neutral,Neutral,Neutral,"I don't think I used AI for most of my work. Sometimes I'd ask AI to provide links to sources on particular topics (e.g. asking it to find pubmed articles), but that's about it.","Maybe proper training on ethical AI use, especially since so much of IBC work is confidential, as well as how to use AI in workstreams."
Senior Consultant,Freshman,Gies College of Business,Finance + Data Science,ChatGPT;Claude,Understanding workstreams,Concerns about accuracy;Becoming over-reliant on AI,Agree,Agree,Agree,Agree,Sometimes workstreams can be really wordy so the most valuable way to use AI in IBC is to break them down. ,AI Workshops throughout the semester for new consultants
Senior Consultant,Sophomore,Grainger College of Engineering,Mechanical Engineering,I don't use AI,I don't use AI,Unclear when/how to use AI;Risk of sharing client/confidential data,Neutral,Neutral,Neutral,Neutral,Summarizing the content in a concise manner,I think finding the line between crossing confidentiality while maximising the best is something that I learnt
Senior Consultant,Junior,Gies College of Business,Information Systems + Marketing,ChatGPT,Rewriting text,I have no concerns about using AI,Neutral,Neutral,Neutral,Agree,Making thoughts and ideas sound more professional. ,Potentially guide us on do's and don'ts and what platforms to best utilize for project work
New Consultant,Freshman,Grainger College of Engineering,Computer Science,Gemini,Conducting research;Rewriting text;Writing scripts,Lack of standardized AI training;Risk of sharing client/confidential data;Concerns about accuracy;Becoming over-reliant on AI,Neutral,Neutral,Neutral,Agree,"I felt that rewording to bulletpoints/text to be more professional was nice, and also with some data analysis.","I was always very cautious with the NDA, so some clarification with what you can and can't say to AI with the NDA would be nice. Also I am curious how it could help with slide design."
Senior Consultant,Freshman,College of Liberal Arts and Sciences,Statistics,ChatGPT;Gemini;Claude,Conducting research;Brainstorming or ideation;Summarizing notes;Rewriting text,Becoming over-reliant on AI,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Helping to me to learn or familiarize myself with something extremely quickly,Show us useful resources and how they can be used
New Consultant,Freshman,College of Liberal Arts and Sciences,Psychology,ChatGPT;Gemini;Claude;Copilot,Question Type;Understanding workstreams;Brainstorming or ideation,I have no concerns about using AI,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,I was able to clarify workstreams and know where to start. ,A training. 
Experienced Consultant,Freshman,Gies College of Business,Finance + Data Science,ChatGPT,Understanding certain terms for our project like what a bottled fastener adhesive is.,I have no concerns about using AI,Neutral,Neutral,Neutral,Neutral,"The most valuable way AI was used in IBC was helping me understand hard definitions and terms. It made confusing concepts easier to break down in simple words, which helped me better understand the project and apply the information to our work.","IBC could better prepare us by having a workshop on how real consultants use AI in their work. It would be helpful to see examples of how to use AI for research, brainstorming, slide ideas, and making work more clear without relying on it too much."
New Consultant,Freshman,Gies College of Business,Finance + Accountancy,Claude,Conducting research;Brainstorming or ideation;Rewriting text,Lack of standardized AI training;Concerns about accuracy,Strongly Agree,Strongly Agree,Agree,Agree,AI does a great job of taking a lot of different ideas and bringing them together for research.,IBC can train consultants on how to effectively double-check the research AI does.
Senior Consultant,Freshman,Gies College of Business,Undeclared,Gemini;Copilot,Brainstorming or ideation;performing stress tests on my recommendations; having weekly news reports on the client's industry ,Lack of guidance from SM/PM/SC;Unclear when/how to use AI;Risk of sharing client/confidential data,Strongly Agree,Strongly Agree,Agree,Strongly Agree,"In my opinion, AI has helped me with explaining to me that in consulting, I must limit the amount of research per work stream. Additionally, it produced a research Guide I can use in numerous ways, such as with marketing research, competitive analysis, data analysis, etc.","One way IBC can better prepare me in utilizing AI tools is by understanding how to get the best output without sharing any confidential information. There were times where I decided not to utilize artificial intelligence due to security concerns. Additionally, IBC can look at potentially subscribing to AI tools that can address these safety concerns. "
New Consultant,Senior,Grainger College of Engineering,Mechanical Engineering,Question Type;ChatGPT;Claude,Question Type;Understanding workstreams;Conducting research;Summarizing notes,Concerns about accuracy;Becoming over-reliant on AI,Agree,Agree,Agree,Agree,"100% research. I, in general, only ever trust AI to compile my research as that is essentially just web scraping.",Maybe make it more clear on what AI could be good for and what it is simply not.
New Consultant,Freshman,Gies College of Business,Finance + Data Science,ChatGPT;Gemini;Claude,Question Type;Understanding workstreams;Conducting research,Unclear when/how to use AI;Risk of sharing client/confidential data,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Just being able to understand workstreams and conduct research.,Have a workshop!
Senior Consultant,Junior,Gies College of Business,Finance + Accountancy,Perplexity,Conducting research,Lack of standardized AI training;Unclear when/how to use AI;Risk of sharing client/confidential data;Becoming over-reliant on AI,Agree,Strongly Disagree,Agree,Agree,Secondary research is the best use case in order to quickly search available online sources that may be hard to find on google due to the large presence of SEO heavy commercialized sources on the first page.,"I think education on what each of the different tools do (and showing people there are models besides chat GPT, as in my option its the worst one by a very wide margin) and on what the best use cases are would be strong."
New Consultant,Freshman,School of Information Sciences,Information Science + Data Science,ChatGPT,Understanding workstreams;Conducting research;Brainstorming or ideation,Lack of standardized AI training;Lack of guidance from SM/PM/SC;Risk of sharing client/confidential data;Becoming over-reliant on AI,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,"breaking down workstreams into simpler steps, breaking down and helping me understans complex, often technical lingo, giving me ways to start research","how to/not to use ai, especially when thinking about client confidentiality, prompts that are effective, what steps in the workstream are most effective with ai"
Experienced Consultant,Sophomore,Gies College of Business,Finance + Accountancy,Gemini;Claude,Understanding workstreams;Conducting research;Brainstorming or ideation;Rewriting text,Unclear when/how to use AI;Risk of sharing client/confidential data;Concerns about accuracy;Becoming over-reliant on AI,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"The most valuable way AI was used in my opinion came with understanding the workstream and the industry our client was it. Our project was very technical, and getting clear answers from AI made me much more efficient and made the project more clear. ",Give us certain prompts we can put into AI to ensure we are asking it the right questions. 
New Consultant,Freshman,Gies College of Business,Accountancy,ChatGPT;Claude,Understanding workstreams;Conducting research,Risk of sharing client/confidential data;Concerns about accuracy;Becoming over-reliant on AI,Agree,Agree,Agree,Agree,"My project heavily relied on the use of AI. Personally, it helped me learn more about n8n and coded the n8n structures for me.",Maybe implement a standardized AI guidelines sheet.
New Consultant,Freshman,College of Liberal Arts and Sciences,CS + Economics,Claude,Conducting research;Brainstorming or ideation,I have no concerns about using AI,Agree,Agree,Agree,Agree,The most valuable way AI was used in IBC was for finding sources and pulling useful quotes or information from them more efficiently.,"IBC could better prepare us by showing more examples of how to use AI for research, workstreams, and building stronger deliverables."
Senior Consultant,Freshman,College of ACES,CS + Crop Sciences,Gemini,Question Type,Lack of guidance from SM/PM/SC,Agree,Neutral,Neutral,Neutral,To make a set of question banking especially on interviews.,Discussing openly what ways can it be used to improve the experience.
New Consultant,Sophomore,Gies College of Business,Finance + Accountancy,ChatGPT;Claude,Understanding workstreams;Rewriting text,I have no concerns about using AI,Agree,Agree,Agree,Agree,Made my bullet points stronger and helped me understand terms,recommend specific ones that are more accurate 
Senior Consultant,Freshman,College of Media,Advertising,Copilot,Understanding workstreams;Brainstorming or ideation,I have no concerns about using AI,Agree,Agree,Agree,Agree,Idea generation is the most valuable way AI is used because it gives me a starting point to work off of if I am stuck. ,Give more workshops on how to leverage AI the most effectively. 
New Consultant,Freshman,Grainger College of Engineering,Industrial Engineering,ChatGPT,Understanding workstreams,I have no concerns about using AI,Neutral,Strongly Disagree,Strongly Disagree,Disagree,"AI helped me better understand work streams, especially since I was new to IBC this semester and wasn't familiar with what they were. It helped me break down unknown industries and terminology, which made it easier for me to understand the purpose behind different tasks.","IBC taught me to not be over-reliant on AI because I want to show off my own brain and thinking process when creating deliverables. IBC taught me that I should illustrate my own work, but I could use AI to help me understand what exactly I should do to start my deliverables and projects because sometimes it can get difficult to understand where to start."
Senior Consultant,Freshman,Gies College of Business,Business Undeclared,ChatGPT;Claude,Understanding workstreams;Brainstorming or ideation,Becoming over-reliant on AI,Agree,Agree,Strongly Agree,Agree,"AI was valuable to summarize long pieces of text, or could sometimes help find credible sources.",It could do more trainings about how to specifically word questions for best results.
Senior Consultant,Sophomore,College of Liberal Arts and Sciences,Marketing + Operations Management,I don't use AI,I don't use AI,Lack of standardized AI training;Risk of sharing client/confidential data;Concerns about accuracy;Becoming over-reliant on AI,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,"I did not personally use AI heavily, but from what I observed, the most valuable way AI was used in IBC was to help consultants refine their work. It was especially useful for making slide language more concise, improving edits, and creating stronger slide titles that were clearer and more client-ready. AI helped turn longer or less polished ideas into cleaner wording that fit better on slides. Overall, I think AI was most valuable as an editing and refinement tool, rather than a replacement for original research, strategy, or team thinking.","IBC could better prepare consultants to use AI by giving clearer guidance on when and how AI should be used in project work. It would be helpful to have specific examples of acceptable uses, such as improving concision, editing slide titles, brainstorming frameworks, or organizing research notes, compared to uses that may be inappropriate, especially involving confidential client information. IBC could also provide a short training on how to write effective prompts, check AI outputs for accuracy, and make sure the final work still reflects the consultant's own thinking. Overall, more structure around ethical use, confidentiality, and practical examples would help consultants use AI more effectively and responsibly."
New Consultant,Freshman,Gies College of Business,Accountancy,ChatGPT;Claude,Understanding workstreams;Conducting research;Brainstorming or ideation,Lack of guidance from SM/PM/SC;Risk of sharing client/confidential data,Agree,Agree,Agree,Agree,The best way was to brainstorm ideas and understand the work streams. ,They can do a better job of teaching us how to use it most efficiently. 
Experienced Consultant,Junior,College of Liberal Arts and Sciences,Econometrics and Quantitative Economics,ChatGPT;Claude,Summarizing notes;Rewriting text,Unclear when/how to use AI;Risk of sharing client/confidential data;Concerns about accuracy,Agree,Agree,Agree,Agree,For me it was really just synthesizing the research I would do and asking it to pick out the best pieces of information. I also would use it to make my writing sound more refined and professional.,Maybe some sort of training (doesn't necessarily need to be a full workshop) to go over how we are allowed to use AI and what we should avoid doing.
Senior Consultant,Freshman,Grainger College of Engineering,Industrial Engineering,Claude,Question Type;Brainstorming or ideation,I have no concerns about using AI,Agree,Agree,Agree,Agree,Ideation,Na
New Consultant,Freshman,Grainger College of Engineering,Industrial Engineering,Claude,Conducting research;my entire workstream was making an AI agent,Lack of standardized AI training;Concerns about accuracy,Strongly Agree,Disagree,Strongly Agree,Agree,"AI became a really powerful tool for starting my research and directing me to the right places. It made finding potential sources very simple, cutting down on a lot of the time spent looking through databases and various websites and documents. 

In addition, my entire workstream for over a month was building an AI agent with Claude, which taught me how powerful AI can be used for automation in the professional world, giving me a new perspective on AI. ","I think that training on AI, like what specific things AI is best at using would be beneficial, or the best ways to use AI so people aren't just having AI do all the work for them, but they are leveraging it in order to make them more efficient."
Senior Consultant,Sophomore,Gies College of Business,Finance + Accountancy,ChatGPT;Gemini;Claude,Conducting research;Brainstorming or ideation;Summarizing notes;Rewriting text,Lack of standardized AI training;Risk of sharing client/confidential data;Concerns about accuracy;Becoming over-reliant on AI,Agree,Agree,Agree,Agree,"It created the template for our market sizing model, and brought a bunch of information.","Just giving opportunities to use AI in projects, in creative ways."
New Consultant,Freshman,Gies College of Business,Business Undeclared,ChatGPT;Gemini;Claude;Perplexity,Understanding workstreams;Brainstorming or ideation,Risk of sharing client/confidential data;Concerns about accuracy;Becoming over-reliant on AI,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,I used AI as a starting point in research and analysis.,"During the NC bootcamp there was a tiny amount of information on how to use AI productively in IBC, I feel like more of that would be very useful. "
New Consultant,Freshman,Gies College of Business,Finance + Data Science,ChatGPT;Gemini;Claude,Understanding workstreams;Conducting research;Brainstorming or ideation,Risk of sharing client/confidential data;Concerns about accuracy;Becoming over-reliant on AI,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"Our whole project revolved around AI and so naturally our team became very proficient in the frameworks that our clients taught us. I think I've become much more intentional with how I use AI. We learned a framework called Think-Prompt-Check, that accelerated learning and value creation in our team.","I might be biased because of the team I had (Centaurian AI), so my feedback may not be reliable. I personally got trained very thoroughly this semester from this project in using AI tools."
Senior Consultant,Sophomore,Grainger College of Engineering,Chemical & Biomolecular Engineering,Gemini;Claude,Conducting research;Brainstorming or ideation,Risk of sharing client/confidential data;Concerns about accuracy;Becoming over-reliant on AI,Strongly Disagree,Disagree,Strongly Disagree,Neutral,"It's only good for accomplishing time consuming, objective tasks. The most notable example of this for my use would be summarizing papers and asking for the most important parts for our project",Documentation on good AI practices would be huge
New Consultant,Freshman,Grainger College of Engineering,Aerospace Engineering,Copilot,Understanding workstreams;Conducting research;Brainstorming or ideation;Summarizing notes;Rewriting text,Lack of standardized AI training;Risk of sharing client/confidential data;Concerns about accuracy;Becoming over-reliant on AI,Agree,Agree,Strongly Agree,Strongly Agree,"AI was useful for larger-scale searches, for example finding potential contacts for interviews, which previously took a long time to do manually. Using AI meant I could manually find what I needed from a more targeted list of results given by AI. ",Workshops or a written/video guide on using AI for slide design and the aspects of project work that AI can help with the most would be good. 
New Consultant,Freshman,Gies College of Business,Finance,ChatGPT,Understanding workstreams;Conducting research;Brainstorming or ideation,Concerns about accuracy,Agree,Agree,Neutral,Neutral,"The most valuable way AI was used was to guide more research, and understand difficult concepts. ",Talk about when and how to use AI to help us during our projects
New Consultant,Sophomore,School of Information Sciences,Data Science + Information Sciences,ChatGPT;Claude,Understanding workstreams;Conducting research;Rewriting text,Lack of standardized AI training;Concerns about accuracy;Becoming over-reliant on AI,Strongly Agree,Agree,Agree,Agree,I used it to understand workstream and proved a solid guidance and how to move about my research. ,Have workshop on best ways to use AI in consulting
Senior Consultant,Freshman,Gies College of Business,Business Undeclared,ChatGPT,Understanding workstreams;Conducting research;Brainstorming or ideation;Summarizing notes,Becoming over-reliant on AI,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"Helping give a starting point on how to approach the research, and condensing text on slides!",Their AI traning already does a pretty good job!
New Consultant,Freshman,Gies College of Business,Finance + Accountancy,Claude;Perplexity,Understanding workstreams,I have no concerns about using AI,Agree,Agree,Agree,Agree,The most valuable way AI was used in IBC was definitely when understanding difficult work streams or trying to understand difficult technical concepts throughout our project. ,"Overall, IBC does a great job preparing us to effectively use AI tools in our project but one thing that can be added is maybe a list of suggestions of how a consultant can apply AI in an effective way."
New Consultant,Sophomore,Grainger College of Engineering,Industrial Engineering,ChatGPT;Claude,Conducting research,Lack of guidance from SM/PM/SC;Concerns about accuracy;Becoming over-reliant on AI,Agree,Agree,Neutral,Strongly Agree,Using to streamline certain research tasks saves a lot of time,"Made me more comfortable with creating descriptive prompts with more accurate results and sources, and got good at making it work for me (making it easy to check the accuracy of its output with a real source)"
New Consultant,Freshman,Gies College of Business,Business Undeclared,ChatGPT;Claude,Understanding workstreams;Brainstorming or ideation;Summarizing notes;Rewriting text,I have no concerns about using AI,Agree,Agree,Agree,Agree,To help break down my workstreams to make research easy ,AI section in bootcamp 
Experienced Consultant,Sophomore,School of Information Sciences,Information Science + Data Science,I don't use AI,I don't use AI,I have no concerns about using AI,Neutral,Neutral,Neutral,Neutral,i don't use ai,i dont use ai
Senior Consultant,Sophomore,College of Liberal Arts and Sciences,Chemical Engineering,ChatGPT;Claude,Understanding workstreams;Conducting research;Brainstorming or ideation,Risk of sharing client/confidential data;Concerns about accuracy;Becoming over-reliant on AI,Agree,Agree,Agree,Agree,"Well in this project, we turned ideas into prototypes with AI and iterated on it.","Maybe an IBC internal AI hackathon, I can help run it we host stuff like this for Founders all the time"
New Consultant,Freshman,College of Liberal Arts and Sciences,Mathematics,ChatGPT;Gemini,Understanding workstreams;Conducting research;Brainstorming or ideation;Summarizing notes,I have no concerns about using AI,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Providing me with ideas on how to start my portion of the project,N/A I am very prepared
Experienced Consultant,Freshman,Gies College of Business,Accountancy,Claude;Copilot,Brainstorming or ideation;Summarizing notes,I have no concerns about using AI,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Understanding general industry practices and brainstorming ,Understanding new ways how to utilize AI when consulting 
New Consultant,Freshman,Gies College of Business,Business Undeclared,ChatGPT;Gemini,Conducting research;Brainstorming or ideation,Risk of sharing client/confidential data;Concerns about accuracy;Becoming over-reliant on AI,Agree,Agree,Disagree,Agree,I liked to use it each week to help me interpret what I should be doing for the workstreams and then having it point me where to go.,"Adding it to the training at the very beginning, maybe in the part where they highlight the resources we have as students."
Experienced Consultant,Freshman,School of Information Sciences,Information Science + Data Science,Gemini,Conducting research;Summarizing notes,Unclear when/how to use AI;Becoming over-reliant on AI,Agree,Disagree,Disagree,Neutral,"I believe AI helped a ton in secondary research, where I would ask it to generate me a list of links and sources that I can work through and point me in the right direction of the project. I would then ask Gemini to summarize large sums of text or find meaningful conclusions from specific links, which I then went back and manually verified for accuracy.","I think having an AI trainings workshop would be useful, especially on when AI is appropriate and when it isn't."
Senior Consultant,Freshman,Gies College of Business,Business Undeclared,ChatGPT;Gemini,Brainstorming or ideation;Rewriting text,Lack of standardized AI training;Unclear when/how to use AI;Risk of sharing client/confidential data;Concerns about accuracy;Becoming over-reliant on AI,Agree,Agree,Disagree,Neutral,To help reword information like key takeaway points or the title of slides to make sure those important things are worded the best they could be ,Have a Clear understanding beforehand of when consultants should and should not use AI and potentially what application of AI is the best to use as well. 
Experienced Consultant,Sophomore,Gies College of Business,Business Undeclared,ChatGPT;Gemini;Claude,Understanding workstreams;Conducting research;Brainstorming or ideation,I have no concerns about using AI,Strongly Agree,Agree,Agree,Agree,Being able to get sources and a broader understanding of the topic as a whole which allows for more depth in research,Making more clear at the start the specific expectations regarding it an if there are any specific practices that should be avoided.
New Consultant,Sophomore,Grainger College of Engineering,Systems Engineering and Design,ChatGPT;Gemini;Claude;n8n,Understanding workstreams;Conducting research;Brainstorming or ideation;Summarizing notes;Rewriting text,Risk of sharing client/confidential data;Becoming over-reliant on AI,Agree,Agree,Agree,Agree,"The most valuable use of AI in IBC was as a support tool for brainstorming, structuring ideas, and improving clarity in our work. It helped speed up early-stage thinking, especially when we were organizing research, refining slide content, and exploring different approaches to problem-solving. It acted as a useful starting point that we could then critically evaluate and build on as a team.","IBC could better prepare students by giving more structured guidance on when and how to use AI appropriately in consulting workflows. For example, more hands-on exercises on using AI for research synthesis, slide refinement, and data interpretation would be helpful. It would also be useful to learn best practices for verifying AI outputs and integrating them responsibly into client-facing work."
Experienced Consultant,Freshman,Gies College of Business,Business Undeclared,ChatGPT;Gemini;Claude;Perplexity,Understanding workstreams;Conducting research,Lack of standardized AI training;Becoming over-reliant on AI,Agree,Strongly Agree,Strongly Agree,Agree,AI helped guide the direction of my work streams often times and this was important as it ultimately affected my entire slide design.,More AI training for research and other practical purposes within IBC
New Consultant,Master's,Gies College of Business,Management,Copilot,Question Type;Understanding workstreams;Conducting research;Brainstorming or ideation;Rewriting text,Lack of standardized AI training;Lack of guidance from SM/PM/SC;Risk of sharing client/confidential data,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"As I did not have a background in the subject, my use of AI greatly helped give me guidance and clarity in the use case. I commonly did not know how to word certain areas of my slides, or struggled to come up with what I would say when presenting a slide, and my use of AI was crucial for helping me. I would not have survived without it. If I were working on a use case that was more closely aligned with my background, I do not feel like it would have been as crucial as it was in my situation on the AbbVie BTS project. ","Maybe some guidance on which AI tools are best at what skills in relation to our consulting projects? This is a tough one for me to answer. I will say that per our IBC paperwork we signed before starting our work, it was stated we could only use Copilot when using company data.

It would be nice if there was an addition of ChatGPT and or Claude, as Copilot is not as effective in many areas. Or if we cannot use the companies data specifically, for there to be some way that we can use the info from our workstream in something other than Copilot. "
Experienced Consultant,Freshman,Gies College of Business,Finance + Data Science,Claude,Understanding workstreams;Brainstorming or ideation;Summarizing notes;Rewriting text,Lack of standardized AI training;Lack of guidance from SM/PM/SC,Strongly Agree,Strongly Agree,Agree,Agree,The most valuable way AI was used in IBC was summarizing large amounts of data.,I think there should be some type of AI training.
Senior Consultant,Freshman,Grainger College of Engineering,CS + Bioengineering,Claude,Conducting research,Risk of sharing client/confidential data;Concerns about accuracy;Becoming over-reliant on AI,Neutral,Neutral,Agree,Neutral,AI is really good at helping consultants understand the industry broadly and gain key background information,Potentially more explicit guidelines on AI usage in IBC would relieve potential fears about violating client confidentiality and inaccuracy.
Experienced Consultant,Sophomore,College of Liberal Arts and Sciences,Statistics,Copilot,Conducting research;Rewriting text,Risk of sharing client/confidential data;Becoming over-reliant on AI,Agree,Neutral,Neutral,Neutral,Understanding the industry was helpful and coming up with ways I can search for research materials.,I think IBC should provide us with some training so we can use AI effectively.
New Consultant,Freshman,Gies College of Business,Business Undeclared,ChatGPT;Gemini;Claude,Understanding workstreams;Conducting research;Brainstorming or ideation;Summarizing notes,Lack of standardized AI training;Unclear when/how to use AI;Risk of sharing client/confidential data,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"AI was at the core of my project, and it really helped me understand the importance of utilizing it in the correct way to maximize benefits. ",I think holding some sort of a workshop could really benefit everyone in the organization!
New Consultant,Freshman,Gies College of Business,Finance + Data Science,ChatGPT;Gemini,Understanding workstreams;Conducting research;Brainstorming or ideation,I have no concerns about using AI,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,AI didn't replace research but it told me what to look for and why that'd be beneficial.,I think if the consultants are told how to use AI to conduct research it will be benefical.
New Consultant,Master's,Gies College of Business,Finance,ChatGPT;Gemini,Summarizing notes;Rewriting text,Lack of guidance from SM/PM/SC;Unclear when/how to use AI;Risk of sharing client/confidential data,Disagree,Disagree,Disagree,Neutral,"I usually use it when i try to summarize huge amounts of data or rewriting the text, nothing much","Guide us better where we  can use it and where we cannot use it, stuff like that"
